sigma,beta,count_full_bankruptcies,count_heavy_loss,count_2k_to_20k,count_20k,count_50k,count_100k,count_1M,count_10M,count_100M,count_1B,ratio_1M_to_10M,total_survivors,mean_wealth,median_wealth,max_wealth
0.1,0.039894228040143274,5229613,3313805,1456562,20,0,0,0,0,0,0,inf,5000099,1595.5533272254977,1215.3852555878466,29175.120691772518
0.5,0.19947114020071635,5163567,879707,3750540,206186,621,1,0,0,0,0,inf,4883355,7259.516199290749,5758.762543782965,108933.08220440248
1.0,0.3989422804014327,5969109,490091,3097534,443266,19093,1664,1,0,0,0,inf,4056717,10207.261314704425,8288.85232402809,1061538.46558466
1.5,0.5984134206021491,6707298,342548,2381561,568593,92540,23576,263,2,0,0,131.5,3310609,13811.341136230947,9542.506793481838,15534198.908488914
2.0,0.7978845608028654,7245487,260109,1873274,621130,173565,66642,2852,102,3,0,27.96078431372549,2768131,22168.198458257477,10480.11116949767,275852057.69221616
2.507,1.000148296966392,7645274,207325,1516550,630851,234351,110746,9402,829,54,8,11.341375150784078,2365558,58282.5581583726,11267.203442279555,11516609787.78717
3.0,1.1968268412042982,7939611,172342,1270378,617669,271859,144690,18343,2274,292,43,8.066402814423922,2069415,402313.6370275139,11913.476744968717,170148632702.8877
3.5,1.3962979814050145,8172726,146795,1085669,594810,293995,169827,27802,4607,781,126,6.034729759062296,1834888,5103691.6353604905,12477.559459591172,2298098917027.63
4.0,1.5957691216057308,8359462,127471,944235,568832,304546,187023,37084,7409,1486,294,5.005263868268322,1647202,40986693.726980805,12979.15568194193,17031304854987.08
